1,ADSL Acceso directo hasta 30mb,ADSL,,,,,33.93,26.45,21.49,19.83,19.01,18.18,25.62,39,,,
2,ADSL acceso indirecto hasta 20mb,ADSL,,,,,50.41,11.57,34.71,34.71,33.88,32.23,38.02,39,,,
3,FIBRA 300MB,FIBRA,,,,,44.67,24.79,33.88,32.23,31.40,30.58,44.67,,190,1.5,
4,FIBRA 120MB,FIBRA,,,,,41.36,21.49,30.58,28.93,28.10,27.27,41.36,,120,1,
5,FIBRA 50M,FIBRA,,,,,33.93,14.88,23.97,22.31,21.49,20.66,33.93,,102,0,5,
6,FIBRA 30MB,FIBRA,,,,,32.27,11.57,21.49,19.83,19.01,18.18,25.62,,65,0,25,
7,PLAN MINI VOZ,MOVIL,0 CENTIMOS+100MB,,8.26,,,,,,,,,,28,-1,XS
8,MINI S,MOVIL,0 CENTIMOS+1.5GB,,11.57,,,,,,,,,,43,-1,MINI
9,SMART S,MOVIL,200 MINUTOS+2GB,,19.01,10.74,,,,,,,,,79,-1,S
10,PLAN RED M,MOVIL,ILIMITADAMITADA+4GB,,27.20,19.84,,,,,,,,,131,-1,M
11,PLAN RED L,MOVIL,ILIMITADA+6GB,,37.19,28.93,,,,,,,,,167,-1,L
12,PLAN RED XL,MOVIL,ILIMITADA+10GB,,53.72,47.11,,,,,,,,,234,-1,XL
13,PLAN RED XXL,MOVIL,ILIMITADA+15GB,,81.82,,,,,,,,,,,,XL
14,LINEAS MINI XS +,MOVIL,0 CENTIMOS+500MB,,6.61,,,,,,,,,,,,XS
15,LINEAS MINI +,MOVIL,0 CENTIMOS+1.5GB,,9.92,,,,,,,,,,36,-1,MINI
16,LINEAS S +,MOVIL,200 MINT+1.5GB,,13.22,,,,,,,,,,48,-1,S
17,LINEAS M +,MOVIL,ILIMITADA+4GB,,23.14,,,,,,,,,,91,-1,M
18,LINEAS L +,MOVIL,ILIMITADA+6GB,,31.40,,,,,,,,,,135,-1,L
